Lexeme           | Token Name
;               | D_SEMICOLON          | 32 
}               | D_RBRACE             | 33 
ani             | K_ANI                | 34 
(               | D_LPAREN             | 34 
"/n"            | L_KWERDAS_LITERAL    | 34 
)               | D_RPAREN             | 34 
;               | D_SEMICOLON          | 34 
}               | D_RBRACE             | 35 
habang          | K_HABANG             | 38 
(               | D_LPAREN             | 38 
x               | L_IDENTIFIER         | 38 
>               | O_GREATER            | 38 
0               | L_BILANG_LITERAL     | 38 
)               | D_RPAREN             | 38 
{               | D_LBRACE             | 38 
y               | L_IDENTIFIER         | 39 
=               | O_ASSIGN             | 39 
x               | L_IDENTIFIER         | 39 
+               | O_PLUS               | 39 
10              | L_BILANG_LITERAL     | 39 
;               | D_SEMICOLON          | 39 
ani             | K_ANI                | 40 
(               | D_LPAREN             | 40 
x               | L_IDENTIFIER         | 40 
)               | D_RPAREN             | 40 
;               | D_SEMICOLON          | 40 
}               | D_RBRACE             | 41 
habang          | K_HABANG             | 43 
(               | D_LPAREN             | 43 
x               | L_IDENTIFIER         | 43 
<               | O_LESS               | 43 
100             | L_BILANG_LITERAL     | 43 
)               | D_RPAREN             | 43 
{               | D_LBRACE             | 43 
y               | L_IDENTIFIER         | 44 
=               | O_ASSIGN             | 44 
x               | L_IDENTIFIER         | 44 
+               | O_PLUS               | 44 
10              | L_BILANG_LITERAL     | 44 
;               | D_SEMICOLON          | 44 
ani             | K_ANI                | 45 
(               | D_LPAREN             | 45 
x               | L_IDENTIFIER         | 45 
)               | D_RPAREN             | 45 
;               | D_SEMICOLON          | 45 
}               | D_RBRACE             | 46 
gawin           | K_GAWIN              | 48 
{               | D_LBRACE             | 48 
y               | L_IDENTIFIER         | 49 
=               | O_ASSIGN             | 49 
y               | L_IDENTIFIER         | 49 
-               | O_MINUS              | 49 
1               | L_BILANG_LITERAL     | 49 
;               | D_SEMICOLON          | 49 
ani             | K_ANI                | 50 
(               | D_LPAREN             | 50 
y               | L_IDENTIFIER         | 50 
)               | D_RPAREN             | 50 
;               | D_SEMICOLON          | 50 
}               | D_RBRACE             | 51 
habang          | K_HABANG             | 51 
(               | D_LPAREN             | 51 
y               | L_IDENTIFIER         | 51 
>               | O_GREATER            | 51 
0               | L_BILANG_LITERAL     | 51 
)               | D_RPAREN             | 51 
;               | D_SEMICOLON          | 51 
bilang          | R_BILANG             | 53 
a               | L_IDENTIFIER         | 53 
,               | D_COMMA              | 53 
b               | L_IDENTIFIER         | 53 
,               | D_COMMA              | 53 
c               | L_IDENTIFIER         | 53 
=               | O_ASSIGN             | 53 
5               | L_BILANG_LITERAL     | 53 
;               | D_SEMICOLON          | 53 
tanim           | K_TANIM              | 54 
(               | D_LPAREN             | 54 
a               | L_IDENTIFIER         | 54 
,               | D_COMMA              | 54 
b               | L_IDENTIFIER         | 54 
)               | D_RPAREN             | 54 
;               | D_SEMICOLON          | 54 
c               | L_IDENTIFIER         | 55 
=               | O_ASSIGN             | 55 
a               | L_IDENTIFIER         | 55 
+               | O_PLUS               | 55 
b               | L_IDENTIFIER         | 55 
;               | D_SEMICOLON          | 55 
ani             | K_ANI                | 56 
(               | D_LPAREN             | 56 
c               | L_IDENTIFIER         | 56 
)               | D_RPAREN             | 56 
;               | D_SEMICOLON          | 56 
kung            | K_KUNG               | 58 
(               | D_LPAREN             | 58 
a               | L_IDENTIFIER         | 58 
>=              | O_GREATER_EQ         | 58 
b               | L_IDENTIFIER         | 58 
)               | D_RPAREN             | 58 
{               | D_LBRACE             | 58 
ani             | K_ANI                | 59 
(               | D_LPAREN             | 59 
a               | L_IDENTIFIER         | 59 
)               | D_RPAREN             | 59 
;               | D_SEMICOLON          | 59 
}               | D_RBRACE             | 60 
kung            | K_KUNG               | 62 
(               | D_LPAREN             | 62 
a               | L_IDENTIFIER         | 62 
<=              | O_LESS_EQ            | 62 
b               | L_IDENTIFIER         | 62 
)               | D_RPAREN             | 62 
{               | D_LBRACE             | 62 
ani             | K_ANI                | 63 
(               | D_LPAREN             | 63 
b               | L_IDENTIFIER         | 63 
)               | D_RPAREN             | 63 
;               | D_SEMICOLON          | 63 
}               | D_RBRACE             | 64 
kung            | K_KUNG               | 66 
(               | D_LPAREN             | 66 
a               | L_IDENTIFIER         | 66 
!=              | O_NOT_EQUAL          | 66 
b               | L_IDENTIFIER         | 66 
)               | D_RPAREN             | 66 
{               | D_LBRACE             | 66 
ani             | K_ANI                | 67 
(               | D_LPAREN             | 67 
"Not equal"     | L_KWERDAS_LITERAL    | 67 
)               | D_RPAREN             | 67 
;               | D_SEMICOLON          | 67 
}               | D_RBRACE             | 68 
}               | D_RBRACE             | 69 
